"BUSCO_ID","Cluster","Description","Atru","Bbom","Dpic","Hboe","Xbor","Xlae","Xtro","Sbom","Lail","Llei","Pcul","Gcar","Pads","Lsyl","Rimi","Rkuk","Rmus","Rtem","Mfle","Pcor","Ecoq","Epus","Lfus","Bbuf","Bgar","Bvir","Debr","Hsar","Ptri"
"100592at32523","931","Acyloxyacyl hydrolase","G","G","G","G","G","G","G","G","G","G","F","G","G","G","G","G","G","G","G","G","G","G","G","G","G","missing","G","G","G"
"100617at32523","1442","Kelch repeat and BTB domain containing 3","B","B","B","B","B, B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F","B","B","B","missing","B","B","B","B"
"100624at32523","721","Chromosome 3 open reading frame 67","E","D+E","E+I","D+E","D+E","D+E","D+E","E","E","E","E","E+H+J","E","missing","E","E","E","E","E","E","E+F","E","E","E","E","E","D+E","D+E","D+E"
"100631at32523","5222","Zinc finger CCCH-type containing 7A","missing","missing","L","L","L+M","L+M","L","L","missing","missing","missing","missing","L","missing","missing","L","L","L","L","L","missing","missing","missing","missing","missing","missing","missing","L","missing"
"100632at32523","3756","Centrosomal protein 126","missing","missing","B","B","B, B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F","B","B","B","B","B","B","B","B"
"100736at32523","3925","E3 ubiquitin-protein ligase MSL2","scaf","F","F","F","F, F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","A, F","F","F","F","F","F"
"100783at32523","1927, 3040","transcription factor SOX-30","C","C","C","missing","missing","C","missing","missing","missing","missing","C","missing","missing","missing","missing","missing","missing","missing","C","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing"
"100796at32523","4638","Coagulation factor XIII B chain","scaf","E","E","D+E","D+E","D+E","D+E","E","E","E","E","E+H+J","E","missing","E","E","E","E","E","E","E+F","E","E","E","E","E","D+E","D+E","D+E"
"100824at32523","3034","Chromosome 12 open reading frame 4","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","missing","C","C+I","C+I","C+I","C","C","C"
"100932at32523","4391","dynein intermediate chain 2, axonemal","missing","D+J+K+L+M","J+K+M","G","L+M","L+M","M","M","M","M","A+M","M","A+M","M","H+J+M","M","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"101012at32523","1286","NF-kappa-B inhibitor zeta isoform X1","B","B","B","B","B, B","B, B","B","B","missing","missing","B","B","B","B","B","B","B","B","B","B","B+F","B","B","B","B","B","B","B","B"
"101062at32523","1038, 3836, 5110","Tyrosine-protein kinase","G","G, G","B, G","B, F, G","B, B, G","B, F, G, G","B, G","B, F, G","B, G","B, G","B, F, G","B, F, G","B, G","B, F, G","B, F, G","F, G","F, G, G","B, F, G","F, G","B, F, G","B+F, G","B, F, G","B, G","B, G","B, G","B, G","G, B, F","B, F, G","B, F, G"
"101090at32523","2195","nucleolar GTP-binding protein 2","B+I","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F, I+K","B","B","B","B","B","B","B","B"
"101114at32523","4048, 5436","F-box/LRR-repeat protein 4","missing","F","F","F","H+I, H+I","H+I, H+I","H+I","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"101120at32523","1741","glycerophosphocholine phosphodiesterase GPCPD1","F","F","F","scaf","F, scaf","F, F","F","F","F","F","F","F, F","F","F","F","F","F","F","F","F","E+F","F","F","F","F","F","F","F","F"
"101129at32523","2390","neutral ceramidase","A+H","H","H","H+I","H+I, H+I","H+I","H+I, H+I","H","H","H","H","E+H+J","H","H","H+J+M","H","H","H","H+M","H+M","B+H","H","H","H+M","H+M","H+M","E+H","E+H","E+H"
"101134at32523","754","fanconi-associated nuclease 1","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"101164at32523","3109","phospholipase DDHD1 isoform X1","B+K","D+J+K+L+M","J+K+M","J+K+M","J+K, J+K","J+K, J+K","J+K","K","missing","K","K","K","K","K","A+K","D+K","scaf","missing","K","K","I+K","D+K","D+K","K","K, K","K","K","K","K"
"101208at32523","1945","N-acetylglucosamine-6-sulfatase","C","C","C","C","C","C, C","C","C","C","C","C","C","missing","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"101216at32523","4591","eukaryotic translation initiation factor 3 subunit D","scaf","D+E","E+I","D+E","D+E","D+E","D+E","E","E","E","E","E+H+J","E","E","E","E","E","E","E","E","E+F","E","E","E","E","E","D+E","D+E","D+E"
"101251at32523","760","SAFB-like transcription modulator","C","C","C","C","C","C, C","C","C","C","C","C","C","C","missing","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"101303at32523","2404","transmembrane 9 superfamily member 3","A+H","H","H","H+I","H+I","H+I, H+I","H+I","H","H","H","H","E+H+J","H","H","H+J+M","H","H","H","H+M","H+M","B+H","H","H","H+M","missing","H+M","E+H","E+H","E+H"
"10130at32523","2872","thyroglobulin","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","scaf","G","G","G","G","scaf","G","G","G","G","G","G","G"
"101373at32523","334","ATP-dependent DNA helicase PIF1","E","E","E","D+E","D+E","D+E","D+E","E","E","E","E","E+H+J","missing","E","E","missing","E","E","E","E","E+F","missing","missing","E","E","E","E+H","E+H","E+H"
"101417at32523","3251","F-box DNA helicase 1 isoform X1","scaf","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"101514at32523","4842, 5154, 5491","ATP-binding cassette sub-family B member 10, mitochondrial","missing","F","F","scaf","C","C","C","F","F","F","C, J","L","L","L","L","L","L","L","L","L","L","missing","L","L","L","L","L","L","L"
"101524at32523","653","coiled-coil domain-containing protein 39","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F, scaf","F","F"
"101542at32523","147","WD40 repeat-containing protein SMU1","A","A","A","A","A, A","A, A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","missing","A","A","A","missing"
"101591at32523","3451","General transcription factor IIH subunit 1","D","D+E","D","D+E","scaf","D+E, D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","scaf","D+K","D","D","D","D+E","D+E","D+E"
"101655at32523","4561","EF-hand calcium binding domain 7","missing","E","E","D+E","D+E","D+E","D+E","E","missing","E","E","E+H+J","E","missing","E","E","E","E","E","E","E+F","missing","E","E","E","E","E+H","E+H","E+H"
"101675at32523","1684","WD repeat-containing protein 43","F","F","F","F","F","F, F","F","F","F","F","F","F","F","F","F","scaf","F","missing","F","F","E+F","scaf","F","F","F","F","F","F","F"
"101797at32523","1085","protein disulfide-isomerase A4","scaf","G","G","G","G","G","G","G","G","G","G","G","G","G","missing","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"101803at32523","2077","pseudouridylate synthase 7","C","C","C","C","C","missing","missing","C","C","C","C","C","missing","C","C","C","missing","C","C","C","C","C","C","C+I","C+I","C+I","missing","C","missing"
"101925at32523","2161","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B ","C","C","C","C","G","missing","C","C","C","C","C","C","C","C","C","C","missing","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"101948at32523","4508","NADPH-dependent diflavin oxidoreductase 1","missing","J","J+K+M","J+K+M","missing","J+K","missing","J","missing","J","J","E+H+J","J","J","H+J+M","J","J","J","J","J","J","scaf","J","J","J","J","J","J","J"
"101949at32523","5033","probable ATP-dependent RNA helicase DDX5","missing","D+J+K+L+M","J+K+M","J+K+M","L+M, L+M","L+M, L+M","M","M","M","H","A+M","M","missing","M","H+J+M","missing","M","missing","H+M","missing","missing","missing","missing","missing","missing","H+M","M","M","missing"
"102110at32523","614","TCDD-inducible poly ","F","F","F","F","F, F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"102347at32523","3944","PAS domain-containing serine/threonine-protein kinase","missing","F","F","missing","F","F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"102420at32523","5042","Solute carrier family 39 member 6","missing","G","G","missing","missing","G","G","G","missing","missing","missing","missing","G","G","G","G","G","G","G","G","missing","G","G","missing","missing","G","missing","G","G"
"102422at32523","4405, 5400, 5490","probable ATP-dependent RNA helicase DDX27","missing","D+J+K+L+M","M","J+K+M","C","C","C","M","M","M","A+M","M","A+M","M","H+J+M","F","M","F","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"102443at32523","2129","tRNA-splicing ligase RtcB homolog","C","C","C","C","C","C, C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","missing","C","C+I","C+I","C+I","C","C","C"
"10244at32523","2583","Fanconi anemia group M protein","B+K","D+J+K+L+M","J+K+M","J+K+M","J+K, J+K","J+K","J+K","K","K","K","K","K","K","K","A+K","D+K","K","K","K","K","I+K","D+K","D+K","K","K","K","K","K","K"
"102529at32523","1641","pre-mRNA-processing factor 17","F","F","F","F","F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"102595at32523","276","sulfate anion transporter 1","A","A","A","A","A","A, A","A","A","A","A","missing","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","missing","A","A","A","A"
"102616at32523","4550","ALG13, UDP-N-acetylglucosaminyltransferase subunit","J","missing","J+K+M","J+K+M","J+K","J+K","J+K","J","J","J","J","E+H+J","J","J","H+J+M","J","J","J","J","J","J","J","J","J","J","J","J","J","J"
"102721at32523","1725, 5265","ATP-binding cassette sub-family G member 8","missing","F","F","F","F","F","F","F","missing","F","F","F","F","F","F","F","F","F","F","F","E+F","F","F","F","F","scaf, scaf","F","F","F"
"102767at32523","4202","pre-mRNA-processing factor 19","missing","H","scaf","H+I","H+I","H+I, H+I","H+I","H","H","H","H","E+H+J","H","H","H+J+M","H","H","H","H+M","H+M","M","scaf","H","H+M","H+M","H+M","E+H","E+H","E+H"
"102781at32523","3991","Cytochrome b5 reductase 4","missing","A","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"102875at32523","4511","Serine/threonine kinase like domain containing 1","scaf","J","J+K+M","J+K+M","J+K","J+K","J+K","J","missing","J","J","E+H+J","J","J","H+J+M","J","J","J","missing","J","J","scaf","J","J","J","J","J","J","J"
"102905at32523","5262","dipeptidyl peptidase 4","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","L","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing"
"103094at32523","2190, 1909","thyroid hormone receptor-associated protein 3","B+I","B","B","B","B, B","B, B","B","B","B","B","B, F","B","B","B","B","B","B","B","B","B","B+F","B","B","B","B","B","B","B","B"
"103109at32523","5044","aldehyde dehydrogenase family 1 member A3","missing","C","missing","missing","C","missing","missing","C","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","C","C","C","C","missing","missing","C+I","C","missing","missing"
"103160at32523","3957","phenylalanine--tRNA ligase beta subunit","missing","F","F","F","F","F","F","F","F","F","F","F","F","missing","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"103182at32523","5514","Centrosomal protein 85","missing","missing","missing","missing","missing","B, B","B","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing","missing"
"10325at32523","1025","putative Polycomb group protein ASXL3","G","G","G","G","G","G, G","G","G","G","G","G","G","G","G","G","G","scaf","G","G","G","G","G","G","G","G","G","G","G","G"
"103286at32523","1844","Arginyl-tRNA synthetase 2, mitochondrial","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"103318at32523","1421","myotubularin-related protein 6","B","B","B","B","missing","B","B","B","B","B","B","B","B","B","B","scaf","B","B","B","B","B+F","B","B","missing","A","B","B","B","B"
"103350at32523","4246","tensin-4","missing","D+J+K+L+M","M","missing","L+M, L+M","L+M, L+M","M","M","missing","M","A+M","M","A+M","M","H+J+M","M","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"103359at32523","1435","M-phase phosphoprotein 8","B","B","B","B","missing","B","B","B","missing","missing","missing","B","B","B","B","B","B","B","B","B","missing","B","missing","missing","B","B","B","missing","B"
"10341at32523","1645","Laminin subunit alpha 4","F","F","F","F","F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"103448at32523","708","GTP-binding protein 1","E","D+E","E+I","D+E","missing","D+E, D+E","D+E","E","E","E","E","E+H+J","E","E","E","E","E","missing","missing","E","E+F","E","E","E","E","E","D+E","D+E","D+E"
"103579at32523","3531","Solute carrier family 38 member 9","missing","A","missing","A","A","A, A","A","A","missing","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","missing","A","A","A","A","A","missing","A"
"103602at32523","596","zinc finger protein 319","D","D+J+K+L+M","scaf","D+E","D+E, D+E","D+E, D+E","D+E","D","H","D","scaf","D","D","D","D","D+K","D","D","D","D","D","D+K","D+K","D","D","D","D+E","D+E","D+E"
"103627at32523","4296","deoxynucleoside triphosphate triphosphohydrolase SAMHD1","scaf","D+J+K+L+M","M","J+K+M","L+M","L+M","M","M","M","M, M","A+M","M","A+M","M","H+J+M","M, scaf","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"103631at32523","4479","Solute carrier family 5 member 11","missing","L","L","missing","missing","L+M","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L","L"
"103634at32523","791","F-box/WD repeat-containing protein 8","A","A","A","A","A","A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"103667at32523","1598","Ankyrin repeat domain 6","F","F","F, F","F","F","F","missing","F","F","F","F","F","F","F","missing","F","missing","F","F","F","B+F","F","missing","F","F","missing","F","missing","F"
"103676at32523","2162","mastermind-like protein 1","C","C","C","C","C, C","C, C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"103716at32523","1775","putative tRNA pseudouridine synthase Pus10","F","F","F","F","F","F","F","F","F","F","F","F","F","missing","F","F","F","F","F","F","E+F","F","F","F","F","F","F","F","F"
"103791at32523","2024","nuclear protein MDM1","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"103953at32523","628, 5166, 5474","cholinesterase","F","F, C","F","F","F, F, J+K","F, F, J+K","C, F, J+K","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F, C","F","F, C","F","F","F","F","F","F"
"103961at32523","2696","zinc finger protein 131 isoform X1","A","A","A","A","A","A, A","A","A","A","A","missing","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"104070at32523","1455, 5442","NADPH oxidase 4 isoform X1","B","B","B","B","B, B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F","scaf","B","B","B, scaf","B","B","B","B"
"104098at32523","1034","THO complex subunit 1","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","C, G","G","G","G","G","G","G","G","G","G","G","G","G"
"104246at32523","2959","replication protein A 70 kDa DNA-binding subunit","B","missing","B","B","B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+H","B","B","B","B","B","B","B","B"
"10430at32523","3524","DNA-directed RNA polymerase I subunit RPA1","scaf","A","A","A","A","A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"104336at32523","2796","Autophagy-related protein 13","D","scaf","D","scaf","D+E","D+E, D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","D+K","D+K","D","D","D","D+E","D+E","D+E"
"104339at32523","4609, 5396","Tetratricopeptide repeat domain 26","scaf","I","E+I","D+E","D+E, D+E","D+E","D+E","E","E","E","E","E+H+J","E","missing","E","M","missing","M","E","E","E+F","E","E","E","E","E","D+E","D+E","D+E"
"104395at32523","986","RNA-binding protein 12B","G, G, G, G","G","G","G","G, G, G, G","G, G, G","G","G","G","G","G","G","G","G","G, G","G","scaf","G","G","G","G","G","G","G","G","G","G","G","G"
"104547at32523","4532, 5488","toll-like receptor 4","scaf","J","J+K+M","J+K+M","C","C, C","C","J","missing","missing","J","E+H+J","J","J","H+J+M","J","J","J","J","J","J","J","J","J","J","J","J","J","J"
"104554at32523","2791","kinesin-like protein KIF18A","D","D+E","D","D+E","D+E","D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","missing","D+K","D","D","D","D+E","D+E","D+E"
"10459at32523","273","tyrosine-protein phosphatase non-receptor type 13","A","A","A","A","A, A","A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"104661at32523","906","Polypeptide N-acetylgalactosaminyltransferase","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"104828at32523","4362","probable aminopeptidase NPEPL1","missing","D+J+K+L+M, G","M","J+K+M","L+M, L+M","L+M, L+M","M","M","M","M","A+M","M","A+M","M","H+J+M","M","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"104841at32523","2537","nicastrin","K+L","D+J+K+L+M","J+K+M","J+K+M","missing","J+K, J+K","J+K","K","K","K","K","K","K","K","A+K","D+K","K","K","K","K","I+K","D+K","D+K","K","K","K","K","K","K"
"104853at32523","4584","ATR-interacting protein","missing","D+E","E+I","D+E","D+E, D+E","D+E, D+E","D+E","E","E","E","E","E+H+J","E","E","E","E","E","E","E","E","E+F","missing","E","E","E","E","D+E","D+E","D+E"
"104932at32523","2249","IlvB acetolactate synthase like","B+I","I","E+I","H+I","H+I","H+I","H+I","I","I","I","I","I","I","I","I","scaf","I","I","I","I","I+K","I+M","I+M","C+I","C+I","C+I","I","I","I"
"104943at32523","1026","Meprin A subunit","G","G","G","G","G, G","G, G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"104997at32523","3900","conserved oligomeric Golgi complex subunit 6","missing","B","B","B","B","B, B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F","missing","B","B","B","B","B","B","B"
"105040at32523","3363","Autocrine motility factor receptor","missing","D+J+K+L+M","scaf","D+E","D+E, D+E","D+E, D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","D+K","D+K","D","D","D","D+E","D+E","D+E"
"105125at32523","4782","double zinc ribbon and ankyrin repeat-containing protein 1","scaf","F","F","F","F","F","F","F","F","F","F","F","F","F","L","F","F","F","F","F","E+F","scaf","F","F","F","F","F","F","F"
"105130at32523","4717","calcium permeable stress-gated cation channel 1","F","D+J+K+L+M","J+K+M","J+K+M","J+K","J+K","J+K","K","K","K","K","K","K","K","A+K","D+K","K","K","F","K","I+K","D+K","D+K","K","scaf","K","K","scaf","K"
"105251at32523","4360","Zinc finger and BTB domain containing 46","scaf","D+J+K+L+M","scaf","J+K+M","L+M, L+M","L+M, L+M","M","M","M","M","A+M","M","A+M","M","H+J+M","M","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M","H+M","M","M","M"
"105267at32523","4952","coiled-coil domain-containing protein 93","missing","D+J+K+L+M","L","L","L+M","L+M","L","L","L","L","L","scaf","L","L, L","L","scaf","scaf","L","L","E","L","scaf","L","L","missing","E","L","L","L"
"105327at32523","4115","protein-cysteine N-palmitoyltransferase HHAT-like protein","scaf","G","G","G","G","G, G","G","G","missing","G","G","G","G","G","G","G","G","G","G","G","G","B","G","G","G","G","G","G","G"
"105411at32523","1527","A-kinase anchoring protein 10 ","B","B","B","B","B, B","B, B","B","B","missing","B","B","B","B","B","B","B","B","B","B","B","B+H","B","B","B","B","B","B","B","B"
"105469at32523","3362","Chromosome 16 open reading frame 70","missing","D+J+K+L+M","missing","D+E","D+E","D+E, D+E","D+E","D","D","D","D","D","D","D","D","D+K","D","D","D","D","D","D+K","D+K","D","D","D","D+E","D+E","D+E"
"105477at32523","1466, 5237","Alpha-1,3-glucosyltransferase","B","B","B","A","B","B","B","B","B","B","B","B","B","B","B","missing","B, B","B","B","B","B+F","scaf","B","B","B","B","E+H","E+H","E+H"
"105574at32523","4314","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 isoform X1","missing","D+J+K+L+M","M","J+K+M","L+M, L+M","L+M, L+M","M","M","M","M","A+M","M","A+M","M","H+J+M","M","M","M","H+M","H+M","M","I+M","I+M","H+M","H+M, H+M","H+M","M","G, M","M"
"105588at32523","2756","transcriptional regulator Kaiso","J","D+J+K+L+M","J+K+M","J+K+M","J+K, J+K","J+K, J+K","J+K","J","J","J","J, J","E+H+J","scaffold, J","J","H+J+M, scaf","J","J","J","J","J","J","J","J","J","J","J","J","J","J"
"105594at32523","5224","RING finger protein 214","missing","missing","E+I","H+I","H+I","H+I","H+I","I","missing","missing","missing","missing","I","I","missing","I","I","I","missing","missing","missing","missing","I+M","missing","missing","missing","missing","I","missing"
"105768at32523","904","Pleckstrin homology domain containing A8","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G"
"10578at32523","4455","Minichromosome maintenance complex component 3 associated protein","scaf","D+J+K+L+M","scaf","A","L+M","L+M","L","L","L","L","L","L","L","L","L","L","L","L","L","C","L","L","L","L","L","L","L","L","L"
"10583at32523","5062, 5282, 5449","CDK5 regulatory subunit-associated protein 2","missing","missing","J+K+M","missing","J+K","J+K","J+K","B","B","B","B","B","B","B","B","B","B","B","B","B","B+F","scaf","scaf","scaf","scaf","B","B","scaf","B"
"105855at32523","173","Primase and DNA directed polymerase","A","A","A","A","A","A","A","A","A","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","A","A","A","A","A","A","A","A"
"105863at32523","3322","leukotriene A-4 hydrolase","missing","C","C","C","C, C","C","C","C","C","C","C","C","C","C","B, C","C","C","C","C","C","C","C","C","C+I","C+I","C+I","C","C","C"
"105916at32523","3532, 1948, 2657","DEAD-box helicase 4","scaf","C","A","A","A, A","A, A","A","A","B","A","A+M","A","A+M","A","A+K","A","A","A","A","A","A","G","A","A","A","A","A","A","A"
"105917at32523","1843","Origin recognition complex subunit 3","F","F","F","F","F","F","F","F","F","F","F","F","missing","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"105920at32523","637","protein MB21D2","F","F","F","F","F, F","F, F","F","F","F","F","F","F","F","F","F","F","F, G","F","F","F","B+F","F","F","F","F","F","F","F","F"
"105966at32523","4792","BRISC and BRCA1 A complex member 2","F","F","F","scaf","F","F","F","F","F","F","F","F","F","F","F","scaf","F","F","F","F","E+F","scaf","F","F","scaf","F","F","F","F"
"106036at32523","1397","serine/threonine-protein kinase Nek5","B","B","B","B","B","B","B","B","B","B","B","B","B","missing","missing","B","B","B","B","B","B+F","B","B","B","B","B","B","B","B"
"106057at32523","1459","frizzled-4","B","B","B","A, scaf","B, B","B, B","B","B","B","B","B","B","B","B","B","B, scaf","B","B","B","B","B+F","scaf","B","B","B","B","B","B","B"
"106122at32523","307","retinoid isomerohydrolase","E","E","E","D+E","D+E, D+E","D+E, D+E","D+E","E","E","E","E","E+H+J","E","E","E","E","E","E","E","E","missing","scaf","E","E","E","E","E+H","E+H","E+H"
"106313at32523","1175","Mitochondrial poly(A) polymerase","G","G","G","G","G","G","G","G","G","scaf","G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","scaf","G","G","G"
"106366at32523","1238","phosphoinositide 3-kinase regulatory subunit 5","M","D+J+K+L+M","J+K+M","scaf","L+M","L+M, L+M","M","M","M","M","A+M","M","A+M","M","H+J+M","scaf","M","M","H+M","H+M","M","scaf","I+M","H+M","H+M","H+M","M","M","M"
"106408at32523","4799","GTP-binding protein 2","missing","F","F","missing","F, F","F, F","F","F","F","F","F","F","missing","F","F","F","F","F","F","F","E+F","missing","F","F","missing","F","F","missing","scaf"
"106441at32523","4098","Chaperonin containing TCP1 subunit 5","scaf","A, G","G","G","G","G, G","G","G","G","G","G","G","G","G","G","G","G","G","G","G","I+K, I+K","G","G","G","B, G","G","G","G","G"
